mereni,R5,X5,Fres,reference,VT,COH5,dily,odpor,nadoba
1,3.16,-0.02,5.43,18.69,0.58,0.98,60,20,54
2,2.64,0.41,,18.69,0.73,0.97,60,20,54
3,2.34,0.35,,18.69,0.73,0.98,60,20,54
1,2.37,0.31,,18.69,0.72,0.98,60,5,54
2,3.1,0.01,,18.69,0.51,0.99,60,5,54
3,3.1,0.08,,18.69,0.47,0.99,60,5,54
1,2.47,0.06,,18.69,0.23,1,60,50,54
2,2.44,0.03,,18.69,0.22,1,60,50,54
3,2.45,0.06,,18.69,0.24,1,60,50,54
1,2.47,0.1,,18.69,0.27,1,40,50,54
2,2.42,0,,18.69,0.24,1,40,50,54
3,2.44,0.1,,18.69,0.22,1,40,50,54
1,3.24,0.04,,18.69,0.53,0.99,20,20,54
2,3.15,0.02,,18.69,0.57,0.98,20,20,54
3,3.17,0.06,,18.69,0.54,0.99,20,20,54
1,2.27,0.26,,18.69,0.74,0.98,20,5,54
2,2.46,0.16,,18.69,0.71,0.98,20,5,54
3,2.77,0.2,,18.69,0.71,0.97,20,5,54
1,3.11,-0.01,12.18,18.69,0.51,0.98,40,20,54
2,3.27,-0.11,7.93,18.69,0.45,0.97,40,20,54
3,3.11,-0.03,6.57,18.69,0.52,0.97,40,20,54
1,3.64,0.01,,18.69,0.63,0.98,40,20,35
2,3.75,-0.16,7.5,18.69,0.59,0.97,40,20,35
3,3.59,0.08,,18.69,0.58,0.97,40,20,35
1,2.94,0.04,,18.69,0.32,1,40,50,35
2,2.93,0.03,,18.69,0.31,1,40,50,35
3,2.88,0.12,,18.69,0.27,1,40,50,35
1,2.19,0.04,,18.69,0.75,0.97,40,5,35
2,2.39,-0.05,5.54,18.69,0.76,0.97,40,5,35
3,2.25,0,,18.69,0.75,0.97,40,5,35
1,3.81,-0.18,9.8,18.69,0.6,0.97,60,50,35
2,3.96,-0.17,6.7,18.69,0.61,0.97,60,50,35
3,3.65,0.08,,18.69,0.64,0.97,60,50,35
1,3.76,-0.24,8.84,18.69,0.63,0.98,60,20,35
2,3.71,0.09,,18.69,0.56,0.96,60,20,35
3,3.71,-0.12,9.21,18.69,0.6,0.97,60,20,35
1,2.96,0.16,,18.69,0.31,0.99,60,5,35
2,2.84,-0.02,12.78,18.69,0.28,0.99,60,5,35
3,2.79,0.07,,18.69,0.29,0.99,60,5,35
1,2.11,-0.02,5.36,18.69,0.72,0.97,20,5,35
2,2.19,-0.06,5.77,18.69,0.69,0.97,20,5,35
3,2.23,-0.14,6.52,18.69,0.73,0.98,20,5,35
1,3.32,-0.05,6.01,18.69,0.55,0.96,20,20,35
2,3.32,-0.04,12.54,18.69,0.55,0.97,20,20,35
3,3.36,0.02,,18.69,0.55,0.96,20,20,35
1,2.55,0.01,,18.69,0.25,1,20,50,35
2,2.55,0.1,,18.69,0.25,0.99,20,50,35
3,2.6,0.08,,18.69,0.23,0.99,20,50,35
1,2.58,0.13,,18.69,0.24,1,20,50,54
2,2.59,0.14,,18.69,0.21,1,20,50,54
3,2.64,0.13,,18.69,0.22,1,20,50,54
1,2.47,0.18,,18.69,0.69,0.97,40,5,54
2,2.29,0.24,,18.69,0.73,0.98,40,5,54
3,2.72,0.28,,18.69,0.72,0.97,40,5,54